,era-id,longitude,latitude,elevation,start-date,end-date,cleaned,time_cleaned,network,pr_15min_nobs,tas_nobs,tdps_nobs,tdps_derived_nobs,ps_nobs,psl_nobs,ps_altimeter_nobs,pr_nobs,pr_5min_nobs,pr_1h_nobs,pr_24h_nobs,pr_localmid_nobs,hurs_nobs,sfcwind_nobs,sfcwind_dir_nobs,rsds_nobs,total_nobs
64,ASOSAWOS_72267603035,-104.468,32.853,32.852,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 10:47:08+00:00,ASOSAWOS,,425167.0,424478.0,0.0,381618.0,0.0,424758.0,6879.0,0.0,0.0,0.0,0.0,0.0,424217.0,377594.0,0.0,429536.0
65,ASOSAWOS_72267703027,-105.663,35.003,2157.984,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 10:55:16+00:00,ASOSAWOS,,172488.0,172414.0,0.0,172218.0,144894.0,172506.0,161059.0,0.0,0.0,0.0,0.0,0.0,171885.0,165800.0,0.0,178918.0
66,ASOSAWOS_72267823052,-104.508,36.742,1936.3944,1998-09-02 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 08:04:53+00:00,ASOSAWOS,,187306.0,187299.0,0.0,179681.0,161255.0,188682.0,173839.0,0.0,0.0,0.0,0.0,0.0,187026.0,165058.0,0.0,206539.0
67,ASOSAWOS_72268023009,-104.508,33.307,1104.5952,1942-07-13 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 01:42:05+00:00,ASOSAWOS,,425808.0,425496.0,0.0,352144.0,399827.0,397744.0,376638.0,0.0,0.0,0.0,0.0,0.0,431342.0,383929.0,0.0,503347.0
68,ASOSAWOS_72268393083,-105.517,33.45,2075.688,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 11:46:48+00:00,ASOSAWOS,,415104.0,414814.0,0.0,372146.0,0.0,414776.0,10060.0,0.0,0.0,0.0,0.0,0.0,408428.0,363369.0,0.0,421773.0
69,ASOSAWOS_72268793033,-104.258,32.334,990.6,1942-09-10 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 01:59:45+00:00,ASOSAWOS,,375765.0,374887.0,0.0,173305.0,337502.0,384167.0,200115.0,0.0,0.0,0.0,0.0,0.0,380865.0,345630.0,0.0,467243.0
70,ASOSAWOS_72268923077,-103.083,34.433,-30479.6952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 11:42:33+00:00,ASOSAWOS,,344205.0,344196.0,0.0,300316.0,44366.0,341437.0,54300.0,0.0,0.0,0.0,0.0,0.0,344236.0,330986.0,0.0,347675.0
71,ASOSAWOS_72269393097,-105.991,32.84,-30479.6952,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 11:39:26+00:00,ASOSAWOS,,413780.0,413706.0,0.0,371470.0,1.0,413227.0,7632.0,0.0,0.0,0.0,0.0,0.0,409992.0,345754.0,0.0,422898.0
72,ASOSAWOS_72269593041,-106.917,32.283,1357.5792,2006-01-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 11:37:15+00:00,ASOSAWOS,,430614.0,430523.0,0.0,386903.0,0.0,430634.0,9339.0,0.0,0.0,0.0,0.0,0.0,429942.0,367455.0,0.0,435510.0
73,ASOSAWOS_72270023044,-106.377,31.812,1202.1312,1941-04-01 00:00:00+00:00,2022-12-31 00:00:00+00:00,Y,2023-02-07 00:12:38+00:00,ASOSAWOS,,443666.0,443603.0,0.0,390787.0,434237.0,390054.0,391676.0,0.0,0.0,0.0,0.0,0.0,444248.0,381043.0,30729.0,498941.0
